2021/01/03 06:06:17 [error] 2725#0: *290939 open() "/home/letmeGC.github.io/public/ba.asp" failed (2: No such file or directory), client: 171.36.132.155, server: yhliu.shixiaoli.com, request: "GET /ba.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2723#0: *290940 open() "/home/letmeGC.github.io/public/ac.asp" failed (2: No such file or directory), client: 112.117.33.114, server: yhliu.shixiaoli.com, request: "GET /ac.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2724#0: *290941 open() "/home/letmeGC.github.io/public/photo3.asp" failed (2: No such file or directory), client: 221.213.75.94, server: yhliu.shixiaoli.com, request: "GET /photo3.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2725#0: *290942 open() "/home/letmeGC.github.io/public/全部地址.txt" failed (2: No such file or directory), client: 59.52.103.181, server: yhliu.shixiaoli.com, request: "GET /%e5%85%a8%e9%83%a8%e5%9c%b0%e5%9d%80.txt HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2723#0: *290943 open() "/home/letmeGC.github.io/public/hackjie.asp" failed (2: No such file or directory), client: 180.95.231.126, server: yhliu.shixiaoli.com, request: "GET /hackjie.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2724#0: *290944 open() "/home/letmeGC.github.io/public/heike.asp" failed (2: No such file or directory), client: 101.249.62.3, server: yhliu.shixiaoli.com, request: "GET /heike.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2722#0: *290945 open() "/home/letmeGC.github.io/public/Draksec.htm" failed (2: No such file or directory), client: 60.13.136.6, server: yhliu.shixiaoli.com, request: "GET /Draksec.htm HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2725#0: *290946 open() "/home/letmeGC.github.io/public/2005.asp" failed (2: No such file or directory), client: 60.13.136.15, server: yhliu.shixiaoli.com, request: "GET /2005.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2723#0: *290948 open() "/home/letmeGC.github.io/public/test.txt" failed (2: No such file or directory), client: 120.0.52.56, server: yhliu.shixiaoli.com, request: "GET /test.txt HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2723#0: *290947 open() "/home/letmeGC.github.io/public/HACK.asp" failed (2: No such file or directory), client: 124.160.236.183, server: yhliu.shixiaoli.com, request: "GET /HACK.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2725#0: *290949 open() "/home/letmeGC.github.io/public/200962614559578.asa" failed (2: No such file or directory), client: 120.85.110.117, server: yhliu.shixiaoli.com, request: "GET /200962614559578.asa HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2725#0: *290950 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 124.90.49.183, server: yhliu.shixiaoli.com, request: "GET /plus/postocer.php HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2722#0: *290952 open() "/home/letmeGC.github.io/public/huangdi.asp" failed (2: No such file or directory), client: 111.224.234.66, server: yhliu.shixiaoli.com, request: "GET /huangdi.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2724#0: *290953 open() "/home/letmeGC.github.io/public/lwy.asp" failed (2: No such file or directory), client: 60.186.111.115, server: yhliu.shixiaoli.com, request: "GET /lwy.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2722#0: *290954 open() "/home/letmeGC.github.io/public/help.txt" failed (2: No such file or directory), client: 116.54.98.139, server: yhliu.shixiaoli.com, request: "GET /help.txt HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2722#0: *290955 open() "/home/letmeGC.github.io/public/zyp.html" failed (2: No such file or directory), client: 182.245.41.132, server: yhliu.shixiaoli.com, request: "GET /zyp.html HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:17 [error] 2724#0: *290956 open() "/home/letmeGC.github.io/public/badgod.asp" failed (2: No such file or directory), client: 110.177.182.39, server: yhliu.shixiaoli.com, request: "GET /badgod.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:18 [error] 2725#0: *290957 open() "/home/letmeGC.github.io/public/hx.htm" failed (2: No such file or directory), client: 123.245.25.79, server: yhliu.shixiaoli.com, request: "GET /hx.htm HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:18 [error] 2724#0: *290958 open() "/home/letmeGC.github.io/public/page596.htm" failed (2: No such file or directory), client: 123.160.173.186, server: yhliu.shixiaoli.com, request: "GET /page596.htm HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:18 [error] 2723#0: *290959 open() "/home/letmeGC.github.io/public/886.asp" failed (2: No such file or directory), client: 219.143.174.240, server: yhliu.shixiaoli.com, request: "GET /886.asp HTTP/1.1", host: "www.haoyunbaojie.com"
2021/01/03 06:06:18 [error] 2722#0: *290960 open() "/home/letmeGC.github.io/public/youhao.htm" failed (2: No such file or directory), client: 61.52.76.144, server: yhliu.shixiaoli.com, request: "GET /youhao.htm HTTP/1.1", host: "www.haoyunbaojie.com"
